Mass ID, Method, Max Punzi
1, LD, 8.417368e-03
1, MLP, 1.276540e-02
1, MLPBNN, 9.421513e-03
1, DNN_CPU, 1.129882e-02
1, BDTG, 1.240191e-02
1, BDTB, 8.895040e-03
1, BDTD, 1.202531e-02
1, BDTF, 1.150492e-02
2, LD, 5.241159e-03
2, MLP, 8.137911e-03
2, MLPBNN, 5.886287e-03
2, DNN_CPU, 7.082564e-03
2, BDTG, 1.152000e-02
2, BDTB, 5.527312e-03
2, BDTD, 7.602903e-03
2, BDTF, 9.630000e-03
3, LD, 5.598776e-03
3, MLP, 8.669919e-03
3, MLPBNN, 6.285523e-03
3, DNN_CPU, 7.558709e-03
3, BDTG, 1.152000e-02
3, BDTB, 5.905807e-03
3, BDTD, 8.107491e-03
3, BDTF, 9.630000e-03
4, LD, 7.969350e-03
4, MLP, 1.212577e-02
4, MLPBNN, 8.924302e-03
4, DNN_CPU, 1.070522e-02
4, BDTG, 1.177345e-02
4, BDTB, 8.419176e-03
4, BDTD, 1.140829e-02
4, BDTF, 1.091268e-02
